Number,Material,B1,C1,B2,C2,B3,C3
0,GaAs,2.5,0,5.466742,0.16662724,1.9347,1381.6089
1,Ge,8.28156,0,6.7288,0.44105,0.21307,3870.099999
2,IRG22,2.48343,0,2.82025,0.13518,0.97734,1420.65884
3,IRG23,3.71071,0,3.10914,0.24589,0.82022,1451.53195
4,IRG24,2.89652,0,2.95668,0.16201,0.9461,1939.07355
5,IRG25,2.75739,0,3.09898,0.15961,1.66599,2045.48407
6,IRG26,3.18808,0,3.59144,0.18505,2.5372,3834.79852
7,IRG27,2.07871,0,2.7557,0.10535,1.12584,859.2
8,LiF,0.000998,0,0.924491891,0.005446383,6.967470466,1075.18416
9,NRL-01,1.864176924,0,2.894471311,0.098237261,1.03275458,824.0111738
10,NRL-02,2.659809842,0,3.641279323,0.158567443,1.56858909,2328.436256
11,NRL-04,3.0213704,0,2.9669739,0.169314227,0.94756697,2521.482252
12,NRL-05,2.4624328,0,2.6623536,0.139137713,0.97566904,1655.254334
13,NRL-06,4.7141248,0,4.2535489,0.364561072,0.90959023,2060.532983
14,NRL-08,2.4622667,0,3.6036817,0.150514715,0.63522234,1396.816025
15,NRL-09,1.2666902,0,3.5776479,0.085364489,1.0123951,829.1610667
16,NRL-13,1.6602298,0,3.5356639,0.101813406,0.96021128,859.2163834
17,NRL-16,2.303088719,0,3.338464119,0.131169627,0.868485118,901.8259205
18,ZnS,0.935057343,0,3.164675709,0.047341263,2.732021968,1148.577069
19,ZnSe,1.650894102,0,3.274495528,0.076657102,2.913973905,2234.685689
